"id","parent_id","code_prefix_start","code_prefix_end","name","name@tr"
"tr_group_251","tr_group_25","251","251","YER ALTI VE YER ÜSTÜ DÜZENLERİ","YER ALTI VE YER ÜSTÜ DÜZENLERİ"
"tr_group_252","tr_group_25","252","252","BİNALAR","BİNALAR"
"tr_group_253","tr_group_25","253","253","TESİS, MAKİNE VE CİHAZLAR","TESİS, MAKİNE VE CİHAZLAR"
"tr_group_254","tr_group_25","254","254","TAŞITLAR","TAŞITLAR"
"tr_group_255","tr_group_25","255","255","DEMİRBAŞLAR","DEMİRBAŞLAR"
"tr_group_256","tr_group_25","256","256","DİĞER MADDİ DURAN VARLIKLAR","DİĞER MADDİ DURAN VARLIKLAR"
"tr_group_257","tr_group_25","257","257","BİRİKMİŞ AMORTİSMANLAR (-)","BİRİKMİŞ AMORTİSMANLAR (-)"
"tr_group_258","tr_group_25","258","258","YAPILMAKTA OLAN YATIRIMLAR","YAPILMAKTA OLAN YATIRIMLAR"
"tr_group_259","tr_group_25","259","259","VERİLEN AVANSLAR","VERİLEN AVANSLAR"
"tr_group_260","tr_group_26","260","260","HAKLAR","HAKLAR"
"tr_group_261","tr_group_26","261","261","ŞEREFİYE","ŞEREFİYE"
"tr_group_262","tr_group_26","262","262","KURULUŞ VE ÖRGÜTLENME GİDERLERİ","KURULUŞ VE ÖRGÜTLENME GİDERLERİ"
"tr_group_263","tr_group_26","263","263","ARAŞTIRMA VE GELİŞTİRME GİDERLERİ","ARAŞTIRMA VE GELİŞTİRME GİDERLERİ"
"tr_group_264","tr_group_26","264","264","ÖZEL MALİYETLER","ÖZEL MALİYETLER"
"tr_group_267","tr_group_26","267","267","DİĞER MADDİ OLMAYAN DURAN VARLIKLAR","DİĞER MADDİ OLMAYAN DURAN VARLIKLAR"
"tr_group_268","tr_group_26","268","268","BİRİKMİŞ AMORTİSMANLAR (-)","BİRİKMİŞ AMORTİSMANLAR (-)"
"tr_group_269","tr_group_26","269","269","VERİLEN AVANSLAR","VERİLEN AVANSLAR"
"tr_group_271","tr_group_27","271","271","ARAMA GİDERLERİ","ARAMA GİDERLERİ"
"tr_group_272","tr_group_27","272","272","HAZIRLIK VE GELİŞTİRME GİDERLERİ","HAZIRLIK VE GELİŞTİRME GİDERLERİ"
"tr_group_277","tr_group_27","277","277","DİĞER ÖZEL TÜKENMEYE TABİ VARLIKLAR","DİĞER ÖZEL TÜKENMEYE TABİ VARLIKLAR"
"tr_group_278","tr_group_27","278","278","BİRİKMİŞ TÜKENME PAYLARI (-)","BİRİKMİŞ TÜKENME PAYLARI (-)"
"tr_group_279","tr_group_27","279","279","VERİLEN AVANSLAR","VERİLEN AVANSLAR"
"tr_group_280","tr_group_28","280","280","GELECEK YILLARA AİT GİDERLER","GELECEK YILLARA AİT GİDERLER"
"tr_group_281","tr_group_28","281","281","GELİR TAHAKKUKLARI","GELİR TAHAKKUKLARI"
"tr_group_291","tr_group_29","291","291","GELECEK YILLARDA İNDİRİLECEK KATMA DEĞER VERGİSİ","GELECEK YILLARDA İNDİRİLECEK KATMA DEĞER VERGİSİ"
"tr_group_292","tr_group_29","292","292","DİĞER KATMA DEĞER VERGİSİ","DİĞER KATMA DEĞER VERGİSİ"
"tr_group_293","tr_group_29","293","293","GELECEK YILLAR İHTİYACI STOKLAR","GELECEK YILLAR İHTİYACI STOKLAR"
"tr_group_294","tr_group_29","294","294","ELDEN ÇIKARILACAK STOKLAR VE MADDİ DURAN VARLIKLAR","ELDEN ÇIKARILACAK STOKLAR VE MADDİ DURAN VARLIKLAR"
"tr_group_297","tr_group_29","297","297","DİĞER ÇEŞİTLİ DURAN VARLIKLAR","DİĞER ÇEŞİTLİ DURAN VARLIKLAR"
"tr_group_298","tr_group_29","298","298","STOK DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)","STOK DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)"
"tr_group_299","tr_group_29","299","299","BİRİKMİŞ AMORTİSMANLAR (-)","BİRİKMİŞ AMORTİSMANLAR (-)"
"tr_group_300","tr_group_30","300","300","BANKA KREDİLERİ","BANKA KREDİLERİ"
"tr_group_303","tr_group_30","303","303","UZUN VADELİ KREDİLERİN ANAPARA TAKSİTLERİ VE FAİZLERİ","UZUN VADELİ KREDİLERİN ANAPARA TAKSİTLERİ VE FAİZLERİ"
"tr_group_304","tr_group_30","304","304","TAHVİL ANAPARA BORÇ, TAKSİT VE FAİZLERİ","TAHVİL ANAPARA BORÇ, TAKSİT VE FAİZLERİ"
"tr_group_305","tr_group_30","305","305","ÇIKARILMIŞ BONOLAR VE SENETLER","ÇIKARILMIŞ BONOLAR VE SENETLER"
"tr_group_306","tr_group_30","306","306","ÇIKARILMIŞ DİĞER MENKUL KIYMETLER","ÇIKARILMIŞ DİĞER MENKUL KIYMETLER"
"tr_group_308","tr_group_30","308","308","MENKUL KIYMETLER İHRAÇ FARKI (-)","MENKUL KIYMETLER İHRAÇ FARKI (-)"
"tr_group_309","tr_group_30","309","309","DİĞER MALİ BORÇLAR","DİĞER MALİ BORÇLAR"
"tr_group_320","tr_group_32","320","320","SATICILAR","SATICILAR"
"tr_group_321","tr_group_32","321","321","BORÇ SENETLERİ","BORÇ SENETLERİ"
"tr_group_322","tr_group_32","322","322","BORÇ SENETLERİ REESKONTU (-)","BORÇ SENETLERİ REESKONTU (-)"
"tr_group_326","tr_group_32","326","326","ALINAN DEPOZİTO VE TEMİNATLAR","ALINAN DEPOZİTO VE TEMİNATLAR"
"tr_group_329","tr_group_32","329","329","DİĞER TİCARİ BORÇLAR","DİĞER TİCARİ BORÇLAR"
"tr_group_331","tr_group_33","331","331","ORTAKLARA BORÇLAR","ORTAKLARA BORÇLAR"
"tr_group_332","tr_group_33","332","332","İŞTİRAKLERE BORÇLAR","İŞTİRAKLERE BORÇLAR"
"tr_group_333","tr_group_33","333","333","BAĞLI ORTAKLIKLARA BORÇLAR","BAĞLI ORTAKLIKLARA BORÇLAR"
"tr_group_335","tr_group_33","335","335","PERSONELE BORÇLAR","PERSONELE BORÇLAR"
"tr_group_337","tr_group_33","337","337","DİĞER BORÇ SENETLERİ REESKONTU (-)","DİĞER BORÇ SENETLERİ REESKONTU (-)"
"tr_group_339","tr_group_33","339","339","DİĞER ÇEŞİTLİ BORÇLAR(1)","DİĞER ÇEŞİTLİ BORÇLAR(1)"
"tr_group_340","tr_group_34","340","340","ALINAN SİPARİŞ AVANSLARI","ALINAN SİPARİŞ AVANSLARI"
"tr_group_349","tr_group_34","349","349","ALINAN DİĞER AVANSLAR","ALINAN DİĞER AVANSLAR"
"tr_group_360","tr_group_36","360","360","ÖDENECEK VERGİ VE FONLAR","ÖDENECEK VERGİ VE FONLAR"
"tr_group_361","tr_group_36","361","361","ÖDENECEK SOSYAL GÜVENLİK KESİNTİLERİ","ÖDENECEK SOSYAL GÜVENLİK KESİNTİLERİ"
"tr_group_368","tr_group_36","368","368","VADESİ GEÇMİŞ ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ VERGİ VE DİĞER YÜKÜMLÜLÜKLER","VADESİ GEÇMİŞ ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ VERGİ VE DİĞER YÜKÜMLÜLÜKLER"
"tr_group_369","tr_group_36","369","369","ÖDENECEK DİĞER YÜKÜMLÜLÜKLER","ÖDENECEK DİĞER YÜKÜMLÜLÜKLER"
"tr_group_370","tr_group_37","370","370","DÖNEM KÂRI VERGİ VE DİĞER YASAL YÜKÜMLÜLÜK KARŞILIKLARI","DÖNEM KÂRI VERGİ VE DİĞER YASAL YÜKÜMLÜLÜK KARŞILIKLARI"
"tr_group_371","tr_group_37","371","371","DÖNEM KÂRININ PEŞİN ÖDENEN VERGİ VE DİĞER YÜKÜMLÜLÜKLERİ (-)","DÖNEM KÂRININ PEŞİN ÖDENEN VERGİ VE DİĞER YÜKÜMLÜLÜKLERİ (-)"
"tr_group_372","tr_group_37","372","372","KIDEM TAZMİNATI KARŞILIĞI","KIDEM TAZMİNATI KARŞILIĞI"
"tr_group_373","tr_group_37","373","373","MALİYET GİDERLERİ KARŞILIĞI","MALİYET GİDERLERİ KARŞILIĞI"
"tr_group_379","tr_group_37","379","379","DİĞER BORÇ VE GİDER KARŞILIKLARI","DİĞER BORÇ VE GİDER KARŞILIKLARI"
"tr_group_380","tr_group_38","380","380","GELECEK AYLARA AİT GELİRLER","GELECEK AYLARA AİT GELİRLER"
"tr_group_381","tr_group_38","381","381","GİDER TAHAKKUKLARI","GİDER TAHAKKUKLARI"
"tr_group_391","tr_group_39","391","391","HESAPLANAN KDV","HESAPLANAN KDV"
"tr_group_392","tr_group_39","392","392","DİĞER KDV","DİĞER KDV"
"tr_group_398","tr_group_39","398","398","SAYIM VE TESELLÜM FAZLALARI(1)","SAYIM VE TESELLÜM FAZLALARI(1)"
"tr_group_399","tr_group_39","399","399","DİĞER ÇEŞİTLİ YABANCI KAYNAKLAR","DİĞER ÇEŞİTLİ YABANCI KAYNAKLAR"
"tr_group_400","tr_group_40","400","400","BANKA KREDİLERİ","BANKA KREDİLERİ"
"tr_group_405","tr_group_40","405","405","ÇIKARILMIŞ TAHVİLLER","ÇIKARILMIŞ TAHVİLLER"
"tr_group_407","tr_group_40","407","407","ÇIKARILMIŞ DİĞER MENKUL KIYMETLER","ÇIKARILMIŞ DİĞER MENKUL KIYMETLER"
"tr_group_408","tr_group_40","408","408","MENKUL KIYMETLER İHRAÇ FARKI (-)","MENKUL KIYMETLER İHRAÇ FARKI (-)"
"tr_group_409","tr_group_40","409","409","DİĞER MALİ BORÇLAR","DİĞER MALİ BORÇLAR"
"tr_group_420","tr_group_42","420","420","SATICILAR","SATICILAR"
"tr_group_421","tr_group_42","421","421","BORÇ SENETLERİ","BORÇ SENETLERİ"
"tr_group_422","tr_group_42","422","422","BORÇ SENETLERİ REESKONTU (-)","BORÇ SENETLERİ REESKONTU (-)"
"tr_group_426","tr_group_42","426","426","ALINAN DEPOZİTO VE TEMİNATLAR","ALINAN DEPOZİTO VE TEMİNATLAR"
"tr_group_429","tr_group_42","429","429","DİĞER TİCARİ BORÇLAR","DİĞER TİCARİ BORÇLAR"
"tr_group_431","tr_group_43","431","431","ORTAKLARA BORÇLAR","ORTAKLARA BORÇLAR"
"tr_group_432","tr_group_43","432","432","İŞTİRAKLERE BORÇLAR","İŞTİRAKLERE BORÇLAR"
"tr_group_433","tr_group_43","433","433","BAĞLI ORTAKLIKLARA BORÇLAR","BAĞLI ORTAKLIKLARA BORÇLAR"
"tr_group_437","tr_group_43","437","437","DİĞER BORÇ SENETLERİ REESKONTU (-)","DİĞER BORÇ SENETLERİ REESKONTU (-)"
"tr_group_438","tr_group_43","438","438","KAMUYA OLAN ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ BORÇLAR","KAMUYA OLAN ERTELENMİŞ VEYA TAKSİTLENDİRİLMİŞ BORÇLAR"
"tr_group_439","tr_group_43","439","439","DİĞER ÇEŞİTLİ BORÇLAR(1)","DİĞER ÇEŞİTLİ BORÇLAR(1)"
"tr_group_440","tr_group_44","440","440","ALINAN SİPARİŞ AVANSLARI","ALINAN SİPARİŞ AVANSLARI"
"tr_group_449","tr_group_44","449","449","ALINAN DİĞER AVANSLAR","ALINAN DİĞER AVANSLAR"
"tr_group_472","tr_group_47","472","472","KIDEM TAZMİNATI KARŞILIĞI","KIDEM TAZMİNATI KARŞILIĞI"
"tr_group_479","tr_group_47","479","479","DİĞER BORÇ VE GİDER KARŞILIKLARI","DİĞER BORÇ VE GİDER KARŞILIKLARI"
"tr_group_480","tr_group_48","480","480","GELECEK YILLARA AİT GELİRLER","GELECEK YILLARA AİT GELİRLER"
"tr_group_481","tr_group_48","481","481","GİDER TAHAKKUKLARI","GİDER TAHAKKUKLARI"
"tr_group_492","tr_group_49","492","492","GELECEK YILLARA ERTELENEN VEYA TERKİN EDİLEN KATMA DEĞER VERGİSİ(1)","GELECEK YILLARA ERTELENEN VEYA TERKİN EDİLEN KATMA DEĞER VERGİSİ(1)"
"tr_group_493","tr_group_49","493","493","TESİSE KATILMA PAYLARI","TESİSE KATILMA PAYLARI"
"tr_group_499","tr_group_49","499","499","DİĞER ÇEŞİTLİ UZUN VADELİ YABANCI KAYNAKLAR","DİĞER ÇEŞİTLİ UZUN VADELİ YABANCI KAYNAKLAR"
"tr_group_500","tr_group_50","500","500","SERMAYE","SERMAYE"
"tr_group_501","tr_group_50","501","501","ÖDENMEMİŞ SERMAYE (-)","ÖDENMEMİŞ SERMAYE (-)"
"tr_group_520","tr_group_52","520","520","HİSSE SENETLERİ İHRAÇ PRİMLERİ","HİSSE SENETLERİ İHRAÇ PRİMLERİ"
"tr_group_521","tr_group_52","521","521","HİSSE SENEDİ İPTAL KÂRLARI","HİSSE SENEDİ İPTAL KÂRLARI"
"tr_group_522","tr_group_52","522","522","MDV  YENİDEN DEĞERLEME ARTIŞLARI","MDV  YENİDEN DEĞERLEME ARTIŞLARI"
"tr_group_523","tr_group_52","523","523","İŞTİRAKLER YENİDEN DEĞERLEME ARTIŞLARI","İŞTİRAKLER YENİDEN DEĞERLEME ARTIŞLARI"
"tr_group_529","tr_group_52","529","529","DİĞER SERMAYE YEDEKLERİ","DİĞER SERMAYE YEDEKLERİ"
"tr_group_540","tr_group_54","540","540","YASAL YEDEKLER","YASAL YEDEKLER"
"tr_group_541","tr_group_54","541","541","STATÜ YEDEKLERİ","STATÜ YEDEKLERİ"
"tr_group_542","tr_group_54","542","542","OLAĞANÜSTÜ YEDEKLER","OLAĞANÜSTÜ YEDEKLER"
"tr_group_548","tr_group_54","548","548","DİĞER KÂR YEDEKLERİ","DİĞER KÂR YEDEKLERİ"
"tr_group_549","tr_group_54","549","549","ÖZEL FONLAR","ÖZEL FONLAR"
"tr_group_570","tr_group_57","570","570","GEÇMİŞ YILLAR KÂRLARI","GEÇMİŞ YILLAR KÂRLARI"
"tr_group_580","tr_group_58","580","580","GEÇMİŞ YILLAR ZARARLARI","GEÇMİŞ YILLAR ZARARLARI"
"tr_group_590","tr_group_59","590","590","DÖNEM NET KÂRI","DÖNEM NET KÂRI"
"tr_group_591","tr_group_59","591","591","DÖNEM NET ZARARI (-)","DÖNEM NET ZARARI (-)"
"tr_group_600","tr_group_60","600","600","YURTİÇİ SATIŞLAR","YURTİÇİ SATIŞLAR"
"tr_group_601","tr_group_60","601","601","YURTDIŞI SATIŞLAR","YURTDIŞI SATIŞLAR"
"tr_group_602","tr_group_60","602","602","DİĞER GELİRLER","DİĞER GELİRLER"
"tr_group_610","tr_group_61","610","610","SATIŞTAN İADELER (-)","SATIŞTAN İADELER (-)"
"tr_group_611","tr_group_61","611","611","SATIŞ İSKONTOLARI (-)","SATIŞ İSKONTOLARI (-)"
"tr_group_612","tr_group_61","612","612","DİĞER İNDİRİMLER (-)","DİĞER İNDİRİMLER (-)"
"tr_group_620","tr_group_62","620","620","SATILAN MAMÜLLER MALİYETİ (-)","SATILAN MAMÜLLER MALİYETİ (-)"
"tr_group_621","tr_group_62","621","621","SATILAN TİCARİ MALLAR MALİYETİ (-)","SATILAN TİCARİ MALLAR MALİYETİ (-)"
"tr_group_622","tr_group_62","622","622","SATILAN HİZMET MALİYETİ (-)","SATILAN HİZMET MALİYETİ (-)"
"tr_group_623","tr_group_62","623","623","DİĞER SATIŞLARIN MALİYETİ (-)","DİĞER SATIŞLARIN MALİYETİ (-)"
"tr_group_630","tr_group_63","630","630","ARAŞTIRMA VE GELİŞTİRME GİDERLERİ (-)","ARAŞTIRMA VE GELİŞTİRME GİDERLERİ (-)"
"tr_group_631","tr_group_63","631","631","PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ","PAZARLAMA SATIŞ VE DAĞITIM GİDERLERİ"
"tr_group_632","tr_group_63","632","632","GENEL YÖNETİM GİDERLERİ (-)","GENEL YÖNETİM GİDERLERİ (-)"
"tr_group_640","tr_group_64","640","640","İŞTİRAKLERDEN TEMETTÜ GELİRLERİ","İŞTİRAKLERDEN TEMETTÜ GELİRLERİ"
"tr_group_641","tr_group_64","641","641","BAĞLI ORTAKLIKLARDAN TEMETTÜ GELİRLERİ","BAĞLI ORTAKLIKLARDAN TEMETTÜ GELİRLERİ"
"tr_group_642","tr_group_64","642","642","FAİZ GELİRLERİ","FAİZ GELİRLERİ"
"tr_group_643","tr_group_64","643","643","KOMİSYON GELİRLERİ","KOMİSYON GELİRLERİ"
"tr_group_644","tr_group_64","644","644","KONUSU KALMAYAN KARŞILIKLAR","KONUSU KALMAYAN KARŞILIKLAR"
"tr_group_649","tr_group_64","649","649","FAALİYETLE İLGİLİ DİĞER GELİR VE KÂRLAR","FAALİYETLE İLGİLİ DİĞER GELİR VE KÂRLAR"
"tr_group_652","tr_group_65","652","652","REESKONT FAİZ GİDERLERİ (-)(1)","REESKONT FAİZ GİDERLERİ (-)(1)"
"tr_group_653","tr_group_65","653","653","KOMİSYON GİDERLERİ (-)","KOMİSYON GİDERLERİ (-)"
"tr_group_654","tr_group_65","654","654","KARŞILIK GİDERLERİ (-)","KARŞILIK GİDERLERİ (-)"
"tr_group_659","tr_group_65","659","659","DİĞER GİDER VE ZARARLAR (-)","DİĞER GİDER VE ZARARLAR (-)"
"tr_group_660","tr_group_66","660","660","KISA VADELİ BORÇLANMA GİDERLERİ (-)","KISA VADELİ BORÇLANMA GİDERLERİ (-)"
"tr_group_661","tr_group_66","661","661","UZUN VADELİ BORÇLANMA GİDERLERİ (-)","UZUN VADELİ BORÇLANMA GİDERLERİ (-)"
"tr_group_671","tr_group_67","671","671","ÖNCEKİ DÖNEM GELİR VE KÂRLARI","ÖNCEKİ DÖNEM GELİR VE KÂRLARI"
"tr_group_679","tr_group_67","679","679","DİĞER OLAĞANDIŞI GELİR VE KÂRLAR","DİĞER OLAĞANDIŞI GELİR VE KÂRLAR"
"tr_group_680","tr_group_68","680","680","ÇALIŞMAYAN KISIM GİDER VE ZARARLARI (-)","ÇALIŞMAYAN KISIM GİDER VE ZARARLARI (-)"
"tr_group_681","tr_group_68","681","681","ÖNCEKİ DÖNEM GİDER VE ZARARLARI (-)","ÖNCEKİ DÖNEM GİDER VE ZARARLARI (-)"
"tr_group_689","tr_group_68","689","689","DİĞER OLAĞANDIŞI GİDER VE ZARARLAR (-)","DİĞER OLAĞANDIŞI GİDER VE ZARARLAR (-)"
"tr_group_690","tr_group_69","690","690","DÖNEM KÂRI VEYA ZARARI","DÖNEM KÂRI VEYA ZARARI"
"tr_group_691","tr_group_69","691","691","DÖNEM KÂRI VERGİ VE DİĞER YASAL YÜKÜMLÜLÜK KARŞILIKLARI (-)","DÖNEM KÂRI VERGİ VE DİĞER YASAL YÜKÜMLÜLÜK KARŞILIKLARI (-)"
"tr_group_692","tr_group_69","692","692","DÖNEM NET KÂRI VEYA ZARARI","DÖNEM NET KÂRI VEYA ZARARI"
"tr_group_700","tr_group_70","700","700","MALİYET MUHASEBESİ BAĞLANTI HESABI","MALİYET MUHASEBESİ BAĞLANTI HESABI"
"tr_group_701","tr_group_70","701","701","MALİYET MUHASEBESİ YANSITMA HESABI","MALİYET MUHASEBESİ YANSITMA HESABI"
"tr_group_710","tr_group_71","710","710","DİREKT İLKMADDE VE MALZEME GİDERLERİ","DİREKT İLKMADDE VE MALZEME GİDERLERİ"
"tr_group_711","tr_group_71","711","711","DİREKT İLKMADDE VE MALZEME YANSITMA HESABI","DİREKT İLKMADDE VE MALZEME YANSITMA HESABI"
"tr_group_712","tr_group_71","712","712","DİREKT İLKMADDE VE MALZEME FİYAT FARKI","DİREKT İLKMADDE VE MALZEME FİYAT FARKI"
"tr_group_713","tr_group_71","713","713","DİREKT İLKMADDE VE MALZEME MİKTAR FARKI","DİREKT İLKMADDE VE MALZEME MİKTAR FARKI"
"tr_group_720","tr_group_72","720","720","DİREKT İŞÇİLİK GİDERLERİ","DİREKT İŞÇİLİK GİDERLERİ"
"tr_group_721","tr_group_72","721","721","DİREKT İŞCİLİK GİDERLERİ YANSITMA HESABI","DİREKT İŞCİLİK GİDERLERİ YANSITMA HESABI"
"tr_group_722","tr_group_72","722","722","DİREKT İŞÇİLİK ÜCRET FARKLARI","DİREKT İŞÇİLİK ÜCRET FARKLARI"
"tr_group_723","tr_group_72","723","723","DİREKT İŞÇİLİK SÜRE (ZAMAN) FARKLARI","DİREKT İŞÇİLİK SÜRE (ZAMAN) FARKLARI"
"tr_group_730","tr_group_73","730","730","GENEL ÜRETİM GİDERLERİ","GENEL ÜRETİM GİDERLERİ"
